"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"70",3304,"HUASCO","Retirado",43
"71",4101,"LA SERENA","Promovido",20522
"72",4101,"LA SERENA","Reprobado",248
"73",4101,"LA SERENA","Retirado",820
"74",4102,"COQUIMBO","Promovido",16990
"75",4102,"COQUIMBO","Reprobado",273
"76",4102,"COQUIMBO","Retirado",517
"77",4103,"ANDACOLLO","Promovido",841
"78",4103,"ANDACOLLO","Reprobado",6
"79",4103,"ANDACOLLO","Retirado",31
"80",4104,"LA HIGUERA","Promovido",345
"81",4104,"LA HIGUERA","Reprobado",13
"82",4104,"LA HIGUERA","Retirado",9
"83",4105,"PAIGUANO","Promovido",330
"84",4105,"PAIGUANO","Retirado",9
"85",4106,"VICUÑA","Promovido",2197
"86",4106,"VICUÑA","Reprobado",20
"87",4106,"VICUÑA","Retirado",85
"88",4201,"ILLAPEL","Promovido",2363
"89",4201,"ILLAPEL","Reprobado",24
"90",4201,"ILLAPEL","Retirado",79
"91",4202,"CANELA","Promovido",562
"92",4202,"CANELA","Retirado",12
"93",4203,"LOS VILOS","Promovido",1704
"94",4203,"LOS VILOS","Reprobado",5
"95",4203,"LOS VILOS","Retirado",56
"96",4204,"SALAMANCA","Promovido",2137
"97",4204,"SALAMANCA","Reprobado",14
"98",4204,"SALAMANCA","Retirado",113
"99",4301,"OVALLE","Promovido",9160
"100",4301,"OVALLE","Reprobado",92
"101",4301,"OVALLE","Retirado",243
"102",4302,"COMBARBALÁ","Promovido",838
"103",4302,"COMBARBALÁ","Retirado",34
"104",4303,"MONTE PATRIA","Promovido",2368
"105",4303,"MONTE PATRIA","Reprobado",23
"106",4303,"MONTE PATRIA","Retirado",91
"107",4304,"PUNITAQUI","Promovido",875
"108",4304,"PUNITAQUI","Reprobado",2
"109",4304,"PUNITAQUI","Retirado",36
"110",4305,"RÍO HURTADO","Promovido",263
"111",4305,"RÍO HURTADO","Reprobado",2
"112",4305,"RÍO HURTADO","Retirado",19
"113",5101,"VALPARAÍSO","Promovido",17945
"114",5101,"VALPARAÍSO","Reprobado",345
"115",5101,"VALPARAÍSO","Retirado",718
"116",5102,"CASABLANCA","Promovido",2057
"117",5102,"CASABLANCA","Reprobado",26
"118",5102,"CASABLANCA","Retirado",99
"119",5103,"CONCÓN","Promovido",3260
"120",5103,"CONCÓN","Reprobado",23
"121",5103,"CONCÓN","Retirado",105
"122",5104,"JUAN FERNÁNDEZ","Promovido",85
"123",5104,"JUAN FERNÁNDEZ","Reprobado",1
"124",5104,"JUAN FERNÁNDEZ","Retirado",4
"125",5105,"PUCHUNCAVÍ","Promovido",1277
"126",5105,"PUCHUNCAVÍ","Reprobado",20
"127",5105,"PUCHUNCAVÍ","Retirado",41
"128",5107,"QUINTERO","Promovido",2245
"129",5107,"QUINTERO","Reprobado",69
"130",5107,"QUINTERO","Retirado",83
"131",5109,"VIÑA DEL MAR","Promovido",20686
"132",5109,"VIÑA DEL MAR","Reprobado",417
"133",5109,"VIÑA DEL MAR","Retirado",887
"134",5109,"VIÑA DEL MAR",NA,1
"135",5201,"ISLA DE PASCUA","Promovido",595
"136",5201,"ISLA DE PASCUA","Reprobado",8
"137",5201,"ISLA DE PASCUA","Retirado",64
"138",5301,"LOS ANDES","Promovido",5644
"139",5301,"LOS ANDES","Reprobado",106
"140",5301,"LOS ANDES","Retirado",238
"141",5302,"CALLE LARGA","Promovido",1159
"142",5302,"CALLE LARGA","Reprobado",21
"143",5302,"CALLE LARGA","Retirado",32
