"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"457",12102,"LAGUNA BLANCA","Rural",14,6.3
"458",12103,"RÍO VERDE","Rural",7,4.9
"459",12104,"SAN GREGORIO","Rural",23,5
"460",12201,"CABO DE HORNOS","Rural",4,6.3
"461",12201,"CABO DE HORNOS","Urbano",181,5.8
"462",12301,"PORVENIR","Urbano",463,3.9
"463",12302,"PRIMAVERA","Rural",34,4.7
"464",12303,"TIMAUKEL","Rural",12,5.6
"465",12401,"NATALES","Rural",23,5.5
"466",12401,"NATALES","Urbano",1592,4.8
"467",12402,"TORRES DEL PAINE","Rural",18,6.5
"468",13101,"SANTIAGO","Urbano",22264,5.3
"469",13102,"CERRILLOS","Urbano",4783,4.9
"470",13103,"CERRO NAVIA","Urbano",7233,5
"471",13104,"CONCHALÍ","Urbano",9339,5
"472",13105,"EL BOSQUE","Urbano",13843,5.3
"473",13106,"ESTACIÓN CENTRAL","Urbano",10046,5.2
"474",13107,"HUECHURABA","Urbano",5916,5.4
"475",13108,"INDEPENDENCIA","Urbano",7410,5.2
"476",13109,"LA CISTERNA","Urbano",8700,5.1
"477",13110,"LA FLORIDA","Urbano",27922,5.3
"478",13111,"LA GRANJA","Urbano",7829,5.1
"479",13112,"LA PINTANA","Urbano",13579,5
"480",13113,"LA REINA","Urbano",8841,5.4
"481",13114,"LAS CONDES","Urbano",14049,5.4
"482",13115,"LO BARNECHEA","Rural",53,5.3
"483",13115,"LO BARNECHEA","Urbano",8106,5.6
"484",13116,"LO ESPEJO","Urbano",4800,5.1
"485",13117,"LO PRADO","Urbano",5457,5.1
"486",13118,"MACUL","Urbano",6286,5.4
"487",13119,"MAIPÚ","Urbano",34314,5.4
"488",13120,"ÑUÑOA","Urbano",11933,5.2
"489",13121,"PEDRO AGUIRRE CERDA","Urbano",6982,5.1
"490",13122,"PEÑALOLÉN","Urbano",14617,5.3
"491",13123,"PROVIDENCIA","Urbano",9353,5
"492",13124,"PUDAHUEL","Rural",519,4.6
"493",13124,"PUDAHUEL","Urbano",12918,5.3
"494",13125,"QUILICURA","Rural",429,5.7
"495",13125,"QUILICURA","Urbano",15563,5.2
"496",13126,"QUINTA NORMAL","Urbano",9958,5.2
"497",13127,"RECOLETA","Urbano",12037,5.3
"498",13128,"RENCA","Urbano",9759,4.8
"499",13129,"SAN JOAQUÍN","Urbano",4350,5
"500",13130,"SAN MIGUEL","Urbano",8134,4.9
"501",13131,"SAN RAMÓN","Urbano",5515,5
"502",13132,"VITACURA","Urbano",7954,5.1
"503",13201,"PUENTE ALTO","Rural",1134,5.3
"504",13201,"PUENTE ALTO","Urbano",36456,5.2
"505",13202,"PIRQUE","Rural",747,4.6
"506",13202,"PIRQUE","Urbano",721,5.3
"507",13203,"SAN JOSÉ DE MAIPO","Rural",445,4.7
"508",13203,"SAN JOSÉ DE MAIPO","Urbano",560,5.5
"509",13301,"COLINA","Rural",396,3.9
"510",13301,"COLINA","Urbano",14510,5.3
"511",13302,"LAMPA","Rural",552,4.8
"512",13302,"LAMPA","Urbano",7911,5.2
"513",13303,"TILTIL","Rural",367,5
"514",13303,"TILTIL","Urbano",959,4.9
"515",13401,"SAN BERNARDO","Rural",405,4.1
"516",13401,"SAN BERNARDO","Urbano",21904,5.2
"517",13402,"BUIN","Rural",1211,5.2
"518",13402,"BUIN","Urbano",6497,5.4
"519",13403,"CALERA DE TANGO","Rural",1609,5
"520",13403,"CALERA DE TANGO","Urbano",361,5.1
"521",13404,"PAINE","Rural",1617,5.4
"522",13404,"PAINE","Urbano",4514,4.8
"523",13501,"MELIPILLA","Rural",2632,5.3
"524",13501,"MELIPILLA","Urbano",7112,5.2
"525",13502,"ALHUÉ","Rural",272,4.4
"526",13502,"ALHUÉ","Urbano",269,4.2
"527",13503,"CURACAVÍ","Rural",620,5.2
"528",13503,"CURACAVÍ","Urbano",1990,4.9
"529",13504,"MARÍA PINTO","Rural",378,5
"530",13504,"MARÍA PINTO","Urbano",427,4.7
