"","codigo_comuna","nombre_comuna","Tipo de zona","n_estudiantes","promedio"
"429",10303,"PURRANQUE","Urbano",1226,5.7
"430",10304,"PUYEHUE","Rural",395,5.6
"431",10304,"PUYEHUE","Urbano",331,5.7
"432",10305,"RÍO NEGRO","Rural",37,5.4
"433",10305,"RÍO NEGRO","Urbano",749,5.8
"434",10306,"SAN JUAN DE LA COSTA","Rural",486,5.7
"435",10307,"SAN PABLO","Rural",319,5.8
"436",10307,"SAN PABLO","Urbano",342,5.4
"437",10401,"CHAITÉN","Rural",290,5.5
"438",10402,"FUTALEUFÚ","Rural",198,5.9
"439",10403,"HUALAIHUÉ","Rural",473,5.9
"440",10403,"HUALAIHUÉ","Urbano",140,5.7
"441",10404,"PALENA","Rural",113,6.2
"442",11101,"COYHAIQUE","Rural",205,5.7
"443",11101,"COYHAIQUE","Urbano",4301,5.7
"444",11102,"LAGO VERDE","Rural",40,5.8
"445",11201,"AYSÉN","Rural",62,6.3
"446",11201,"AYSÉN","Urbano",1927,5.7
"447",11202,"CISNES","Rural",198,5.3
"448",11202,"CISNES","Urbano",209,5.4
"449",11203,"GUAITECAS","Rural",120,5.9
"450",11301,"COCHRANE","Rural",259,5.8
"451",11302,"O'HIGGINS","Rural",55,6.2
"452",11303,"TORTEL","Rural",48,5.9
"453",11401,"CHILE CHICO","Rural",327,6.3
"454",11402,"RÍO IBÁÑEZ","Rural",157,5.6
"455",12101,"PUNTA ARENAS","Rural",30,6.6
"456",12101,"PUNTA ARENAS","Urbano",8547,5.8
"457",12102,"LAGUNA BLANCA","Rural",18,5.8
"458",12103,"RÍO VERDE","Rural",7,5
"459",12104,"SAN GREGORIO","Rural",22,6
"460",12201,"CABO DE HORNOS","Rural",5,6.6
"461",12201,"CABO DE HORNOS","Urbano",185,5.7
"462",12301,"PORVENIR","Urbano",472,5.3
"463",12302,"PRIMAVERA","Rural",40,6.1
"464",12303,"TIMAUKEL","Rural",19,6.4
"465",12401,"NATALES","Rural",16,5.3
"466",12401,"NATALES","Urbano",1564,5.3
"467",12402,"TORRES DEL PAINE","Rural",20,5.9
