"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"336",7104,"EMPEDRADO","Promovido",273
"337",7104,"EMPEDRADO","Reprobado",3
"338",7104,"EMPEDRADO","Retirado",21
"339",7105,"MAULE","Promovido",2125
"340",7105,"MAULE","Reprobado",6
"341",7105,"MAULE","Retirado",121
"342",7106,"PELARCO","Promovido",639
"343",7106,"PELARCO","Reprobado",8
"344",7106,"PELARCO","Retirado",70
"345",7107,"PENCAHUE","Promovido",400
"346",7107,"PENCAHUE","Reprobado",4
"347",7107,"PENCAHUE","Retirado",25
"348",7108,"RÍO CLARO","Promovido",950
"349",7108,"RÍO CLARO","Reprobado",3
"350",7108,"RÍO CLARO","Retirado",93
"351",7109,"SAN CLEMENTE","Promovido",3234
"352",7109,"SAN CLEMENTE","Reprobado",23
"353",7109,"SAN CLEMENTE","Retirado",235
"354",7110,"SAN RAFAEL","Promovido",785
"355",7110,"SAN RAFAEL","Reprobado",12
"356",7110,"SAN RAFAEL","Retirado",61
"357",7201,"CAUQUENES","Promovido",2939
"358",7201,"CAUQUENES","Reprobado",16
"359",7201,"CAUQUENES","Retirado",218
"360",7202,"CHANCO","Promovido",561
"361",7202,"CHANCO","Reprobado",6
"362",7202,"CHANCO","Retirado",19
"363",7203,"PELLUHUE","Promovido",634
"364",7203,"PELLUHUE","Reprobado",13
"365",7203,"PELLUHUE","Retirado",45
"366",7301,"CURICÓ","Promovido",11986
"367",7301,"CURICÓ","Reprobado",111
"368",7301,"CURICÓ","Retirado",989
"369",7302,"HUALAÑÉ","Promovido",600
"370",7302,"HUALAÑÉ","Reprobado",4
"371",7302,"HUALAÑÉ","Retirado",44
"372",7303,"LICANTÉN","Promovido",454
"373",7303,"LICANTÉN","Reprobado",6
"374",7303,"LICANTÉN","Retirado",25
"375",7304,"MOLINA","Promovido",3187
"376",7304,"MOLINA","Reprobado",43
"377",7304,"MOLINA","Retirado",242
"378",7305,"RAUCO","Promovido",441
"379",7305,"RAUCO","Reprobado",7
"380",7305,"RAUCO","Retirado",25
"381",7306,"ROMERAL","Promovido",1051
"382",7306,"ROMERAL","Reprobado",7
"383",7306,"ROMERAL","Retirado",51
"384",7307,"SAGRADA FAMILIA","Promovido",1100
"385",7307,"SAGRADA FAMILIA","Reprobado",2
"386",7307,"SAGRADA FAMILIA","Retirado",60
"387",7308,"TENO","Promovido",1801
"388",7308,"TENO","Reprobado",19
"389",7308,"TENO","Retirado",116
"390",7309,"VICHUQUEN","Promovido",193
"391",7309,"VICHUQUEN","Reprobado",2
"392",7309,"VICHUQUEN","Retirado",17
"393",7401,"LINARES","Promovido",7855
"394",7401,"LINARES","Reprobado",78
"395",7401,"LINARES","Retirado",777
"396",7401,"LINARES",NA,2
"397",7402,"COLBÚN","Promovido",1515
"398",7402,"COLBÚN","Reprobado",28
"399",7402,"COLBÚN","Retirado",116
"400",7403,"LONGAVÍ","Promovido",2135
"401",7403,"LONGAVÍ","Reprobado",25
"402",7403,"LONGAVÍ","Retirado",183
"403",7404,"PARRAL","Promovido",3248
"404",7404,"PARRAL","Reprobado",38
"405",7404,"PARRAL","Retirado",191
"406",7405,"RETIRO","Promovido",1466
"407",7405,"RETIRO","Reprobado",22
"408",7405,"RETIRO","Retirado",152
"409",7406,"SAN JAVIER","Promovido",3884
"410",7406,"SAN JAVIER","Reprobado",71
"411",7406,"SAN JAVIER","Retirado",209
"412",7406,"SAN JAVIER",NA,2
"413",7407,"VILLA ALEGRE","Promovido",1025
"414",7407,"VILLA ALEGRE","Reprobado",19
"415",7407,"VILLA ALEGRE","Retirado",102
"416",7408,"YERBAS BUENAS","Promovido",834
"417",7408,"YERBAS BUENAS","Reprobado",14
"418",7408,"YERBAS BUENAS","Retirado",69
"419",8101,"CONCEPCIÓN","Promovido",14713
"420",8101,"CONCEPCIÓN","Reprobado",183
"421",8101,"CONCEPCIÓN","Retirado",1220
"422",8102,"CORONEL","Promovido",8887
"423",8102,"CORONEL","Reprobado",56
"424",8102,"CORONEL","Retirado",623
"425",8103,"CHIGUAYANTE","Promovido",5520
"426",8103,"CHIGUAYANTE","Reprobado",58
"427",8103,"CHIGUAYANTE","Retirado",385
"428",8104,"FLORIDA","Promovido",687
"429",8104,"FLORIDA","Reprobado",9
"430",8104,"FLORIDA","Retirado",55
"431",8105,"HUALQUI","Promovido",1587
"432",8105,"HUALQUI","Reprobado",15
"433",8105,"HUALQUI","Retirado",108
"434",8106,"LOTA","Promovido",3143
"435",8106,"LOTA","Reprobado",72
"436",8106,"LOTA","Retirado",239
"437",8107,"PENCO","Promovido",2934
"438",8107,"PENCO","Reprobado",50
"439",8107,"PENCO","Retirado",237
"440",8108,"SAN PEDRO DE LA PAZ","Promovido",9981
"441",8108,"SAN PEDRO DE LA PAZ","Reprobado",143
"442",8108,"SAN PEDRO DE LA PAZ","Retirado",652
"443",8109,"SANTA JUANA","Promovido",1055
"444",8109,"SANTA JUANA","Reprobado",9
"445",8109,"SANTA JUANA","Retirado",48
"446",8110,"TALCAHUANO","Promovido",8803
"447",8110,"TALCAHUANO","Reprobado",90
"448",8110,"TALCAHUANO","Retirado",1031
"449",8111,"TOMÉ","Promovido",3589
"450",8111,"TOMÉ","Reprobado",17
"451",8111,"TOMÉ","Retirado",242
"452",8112,"HUALPÉN","Promovido",5202
"453",8112,"HUALPÉN","Reprobado",28
"454",8112,"HUALPÉN","Retirado",399
"455",8201,"LEBU","Promovido",1911
"456",8201,"LEBU","Reprobado",51
"457",8201,"LEBU","Retirado",118
"458",8202,"ARAUCO","Promovido",2652
"459",8202,"ARAUCO","Reprobado",30
"460",8202,"ARAUCO","Retirado",137
"461",8203,"CAÑETE","Promovido",2711
"462",8203,"CAÑETE","Reprobado",66
"463",8203,"CAÑETE","Retirado",196
"464",8204,"CONTULMO","Promovido",453
"465",8204,"CONTULMO","Reprobado",13
"466",8204,"CONTULMO","Retirado",48
"467",8205,"CURANILAHUE","Promovido",2315
"468",8205,"CURANILAHUE","Reprobado",25
"469",8205,"CURANILAHUE","Retirado",92
"470",8206,"LOS ÁLAMOS","Promovido",1814
