"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"440",8109,"SANTA JUANA","Promovido",1026
"441",8109,"SANTA JUANA","Reprobado",9
"442",8109,"SANTA JUANA","Retirado",59
"443",8110,"TALCAHUANO","Promovido",8359
"444",8110,"TALCAHUANO","Reprobado",83
"445",8110,"TALCAHUANO","Retirado",663
"446",8111,"TOMÉ","Promovido",3513
"447",8111,"TOMÉ","Reprobado",14
"448",8111,"TOMÉ","Retirado",193
"449",8112,"HUALPÉN","Promovido",4987
"450",8112,"HUALPÉN","Reprobado",34
"451",8112,"HUALPÉN","Retirado",280
"452",8201,"LEBU","Promovido",1896
"453",8201,"LEBU","Reprobado",40
"454",8201,"LEBU","Retirado",101
"455",8202,"ARAUCO","Promovido",2621
"456",8202,"ARAUCO","Reprobado",26
"457",8202,"ARAUCO","Retirado",111
"458",8203,"CAÑETE","Promovido",2629
"459",8203,"CAÑETE","Reprobado",51
"460",8203,"CAÑETE","Retirado",149
"461",8204,"CONTULMO","Promovido",458
"462",8204,"CONTULMO","Reprobado",9
"463",8204,"CONTULMO","Retirado",26
"464",8205,"CURANILAHUE","Promovido",2289
"465",8205,"CURANILAHUE","Reprobado",20
"466",8205,"CURANILAHUE","Retirado",77
"467",8206,"LOS ÁLAMOS","Promovido",1801
"468",8206,"LOS ÁLAMOS","Reprobado",23
"469",8206,"LOS ÁLAMOS","Retirado",104
"470",8207,"TIRÚA","Promovido",885
"471",8207,"TIRÚA","Reprobado",4
"472",8207,"TIRÚA","Retirado",64
"473",8207,"TIRÚA",NA,18
"474",8301,"LOS ÁNGELES","Promovido",16150
"475",8301,"LOS ÁNGELES","Reprobado",95
"476",8301,"LOS ÁNGELES","Retirado",1213
"477",8302,"ANTUCO","Promovido",245
"478",8302,"ANTUCO","Retirado",14
"479",8303,"CABRERO","Promovido",2054
"480",8303,"CABRERO","Reprobado",19
"481",8303,"CABRERO","Retirado",173
"482",8304,"LAJA","Promovido",1680
"483",8304,"LAJA","Reprobado",5
"484",8304,"LAJA","Retirado",76
"485",8305,"MULCHÉN","Promovido",1846
"486",8305,"MULCHÉN","Reprobado",25
"487",8305,"MULCHÉN","Retirado",121
"488",8306,"NACIMIENTO","Promovido",1969
"489",8306,"NACIMIENTO","Reprobado",11
"490",8306,"NACIMIENTO","Retirado",92
"491",8307,"NEGRETE","Promovido",651
"492",8307,"NEGRETE","Reprobado",9
"493",8307,"NEGRETE","Retirado",35
"494",8308,"QUILACO","Promovido",246
"495",8308,"QUILACO","Reprobado",1
"496",8308,"QUILACO","Retirado",21
"497",8309,"QUILLECO","Promovido",457
"498",8309,"QUILLECO","Reprobado",3
"499",8309,"QUILLECO","Retirado",25
"500",8310,"SAN ROSENDO","Promovido",154
"501",8310,"SAN ROSENDO","Reprobado",1
"502",8310,"SAN ROSENDO","Retirado",8
"503",8311,"SANTA BÁRBARA","Promovido",1013
"504",8311,"SANTA BÁRBARA","Reprobado",4
"505",8311,"SANTA BÁRBARA","Retirado",65
"506",8312,"TUCAPEL","Promovido",948
"507",8312,"TUCAPEL","Reprobado",4
"508",8312,"TUCAPEL","Retirado",51
"509",8313,"YUMBEL","Promovido",1395
"510",8313,"YUMBEL","Reprobado",13
"511",8313,"YUMBEL","Retirado",83
"512",8314,"ALTO BIOBÍO","Promovido",573
"513",8314,"ALTO BIOBÍO","Reprobado",7
"514",8314,"ALTO BIOBÍO","Retirado",25
"515",9101,"TEMUCO","Promovido",20294
"516",9101,"TEMUCO","Reprobado",214
"517",9101,"TEMUCO","Retirado",2394
"518",9102,"CARAHUE","Promovido",1880
"519",9102,"CARAHUE","Reprobado",6
"520",9102,"CARAHUE","Retirado",169
"521",9102,"CARAHUE",NA,3
"522",9103,"CUNCO","Promovido",1259
"523",9103,"CUNCO","Reprobado",7
"524",9103,"CUNCO","Retirado",90
"525",9104,"CURARREHUE","Promovido",628
"526",9104,"CURARREHUE","Reprobado",13
"527",9104,"CURARREHUE","Retirado",78
"528",9105,"FREIRE","Promovido",1496
"529",9105,"FREIRE","Reprobado",24
"530",9105,"FREIRE","Retirado",129
"531",9106,"GALVARINO","Promovido",1069
"532",9106,"GALVARINO","Reprobado",8
"533",9106,"GALVARINO","Retirado",95
"534",9107,"GORBEA","Promovido",824
"535",9107,"GORBEA","Reprobado",6
"536",9107,"GORBEA","Retirado",64
"537",9108,"LAUTARO","Promovido",2968
"538",9108,"LAUTARO","Reprobado",28
"539",9108,"LAUTARO","Retirado",198
"540",9109,"LONCOCHE","Promovido",1674
"541",9109,"LONCOCHE","Reprobado",5
"542",9109,"LONCOCHE","Retirado",133
"543",9110,"MELIPEUCO","Promovido",454
"544",9110,"MELIPEUCO","Reprobado",2
"545",9110,"MELIPEUCO","Retirado",52
"546",9111,"NUEVA IMPERIAL","Promovido",2401
"547",9111,"NUEVA IMPERIAL","Reprobado",21
